区分,順位,順位変動,前回順位,コード,銘柄名,市場,現在値,更新時刻,前日比,前日比%,出来高,売買代金(推計),時価総額,PER,PBR
"値上がり","1","NEW","","4062","イビデン","東P","19,550.0","08/04 23:59","+3,220","+19.7%","191,400","3,635,451千円","54,938億円","65.4倍","9.6倍"
"値上がり","2","NEW","","3964","オークネッ","東P","1,566.1","08/04 23:59","+240","+18.1%","36,000","55,832千円","1,423億円","18.2倍","4.8倍"
"値上がり","3","↑2","5","4746","東計電算","東S","6,630.0","08/04 23:36","+1,000","+17.8%","28,000","185,640千円","1,195億円","13.9倍","2.1倍"
"値上がり","4","NEW","","4073","ジィ･シィ","東G","729.0","08/04 22:42","+100","+15.9%","22,800","16,621千円","19億円","34.3倍","10.0倍"
"値上がり","5","NEW","","6327","北川精機","東S","3,630.0","08/04 23:57","+495","+15.8%","35,600","125,128千円","296億円","48.6倍","5.2倍"
"値上がり","6","NEW","","6777","sante","東S","22,250.0","08/04 23:58","+2,810","+14.5%","1,200","24,574千円","2,617億円","29.7倍","9.4倍"
"値上がり","7","NEW","","6925","ウシオ電機","東P","4,390.0","08/04 23:37","+377","+9.4%","8,400","36,164千円","3,483億円","33.2倍","1.6倍"
"値上がり","8","NEW","","7480","スズデン","東S","3,155.0","08/04 23:57","+254","+8.8%","100,400","319,120千円","400億円","14.4倍","2.4倍"
"値上がり","9","NEW","","9444","トーシンH","東S","324.0","08/04 23:59","+26","+8.7%","46,600","14,908千円","21億円","-","2.0倍"
"値上がり","10","NEW","","5801","古河電気工","東P","3,850.0","08/04 23:59","+284","+8.0%","370,400","1,413,516千円","27,085億円","33.0倍","6.5倍"
"値上がり","11","NEW","","6613","QDレーザ","東G","1,755.0","08/04 23:58","+129","+7.9%","109,600","187,741千円","734億円","166.5倍","15.0倍"
"値上がり","12","NEW","","8012","長瀬産業","東P","1,250.2","08/04 23:59","+92","+7.9%","19,400","23,943千円","5,099億円","14.8倍","1.1倍"
"値上がり","13","↓5","8","2737","トーメンデ","東P","33,500.0","08/04 23:57","+2,350","+7.5%","23,200","766,818千円","2,278億円","7.6倍","3.2倍"
"値上がり","14","NEW","","6976","太陽誘電","東P","11,000.0","08/04 23:59","+710","+6.9%","79,200","849,696千円","13,756億円","76.4倍","4.0倍"
"値上がり","15","NEW","","7729","東京精密","東P","19,299.0","08/04 23:59","+1,239","+6.9%","13,600","257,680千円","7,833億円","25.4倍","4.1倍"
"値上がり","16","NEW","","5857","AREHD","東P","3,295.0","08/04 23:58","+205","+6.6%","25,000","82,185千円","2,832億円","9.8倍","1.3倍"
"値上がり","17","NEW","","9984","ソフトバン","東P","5,565.0","08/04 23:59","+337","+6.4%","788,200","4,272,516千円","317,145億円","-","1.8倍"
"値上がり","18","NEW","","4392","FIG","東P","927.0","08/04 23:59","+56","+6.4%","26,800","24,347千円","282億円","41.4倍","3.2倍"
"値上がり","19","NEW","","6525","KOKUS","東P","8,695.0","08/04 23:59","+492","+6.0%","39,000","328,343千円","20,313億円","52.4倍","9.3倍"
